Threshold,Edge_density,LCC_Size,Number_of_components
0.8,0.004123050254516674,18015,29
0.8051282051282052,0.003958936073931464,18011,34
0.8102564102564103,0.0037993964832566817,18004,41
0.8153846153846154,0.0036414656745369753,18000,43
0.8205128205128206,0.0034864269891029215,17994,48
0.8256410256410257,0.0033348576235338223,17990,52
0.8307692307692308,0.0031865733661554326,17987,56
0.8358974358974359,0.0030426979081806488,17955,62
0.841025641025641,0.0029011987808036308,17949,67
0.8461538461538461,0.002761830368458717,17928,75
0.8512820512820514,0.0026232970490370493,17917,83
0.8564102564102565,0.002484340042764617,17908,93
0.8615384615384616,0.0023500190302940273,17903,98
0.8666666666666667,0.002220978752485138,17876,116
0.8717948717948718,0.0020959051660616665,17860,131
0.8769230769230769,0.001974970201919574,17839,146
0.882051282051282,0.0018595063245025695,17813,173
0.8871794871794872,0.0017465600066335853,17779,191
0.8923076923076924,0.001639938289580359,17704,216
0.8974358974358975,0.0015355639549529264,17351,255
0.9025641025641026,0.001432331732705815,17272,301
0.9076923076923077,0.0013300267092190721,17078,361
0.9128205128205129,0.0012307673187465196,16971,433
0.917948717948718,0.0011387228855152445,16926,518
0.9230769230769231,0.0010495398736239143,16752,625
0.9282051282051282,0.0009584349199312905,16606,753
0.9333333333333333,0.0008704431435334137,16097,871
0.9384615384615385,0.0007846127841133494,15915,1047
0.9435897435897436,0.0007015394594178243,15408,1235
0.9487179487179487,0.000616654719925553,15177,1477
0.9538461538461539,0.0005317761208224231,12137,1774
0.958974358974359,0.00044776945697738805,10484,2171
0.9641025641025641,0.0003652180653588915,6157,2605
0.9692307692307692,0.00029166848422185253,4421,3161
0.9743589743589743,0.0002312286339019432,2582,3895
0.9794871794871796,0.00019087399646392183,1133,5017
0.9846153846153847,0.00015113953832919324,632,7071
0.9897435897435898,0.00010409801711606455,192,10897
0.9948717948717949,5.4115249504151293e-05,192,15027
1.0,0,1,18048
